match_id,gold_diff,xp_diff,cs_diff,kills_diff,tower_diff,gold_diff_top,xp_diff_top,cs_diff_top,gold_diff_jungle,xp_diff_jungle,cs_diff_jungle,gold_diff_mid,xp_diff_mid,cs_diff_mid,gold_diff_adc,xp_diff_adc,cs_diff_adc,gold_diff_support,xp_diff_support,cs_diff_support,blue_dragons,red_dragons,blue_voidgrubs,red_voidgrubs,blue_plates,red_plates,plates_diff,first_blood,blue_avg_champion_wr,red_avg_champion_wr,synergy_diff,blue_has_duo,red_has_duo,blue_duo_impact,red_duo_impact,duo_impact_diff,blue_wins
BR1_3224495940,3312,2627,10,11,0,-1022,-1093,-20,1695,1842,40,-1028,-147,-24,2516,1503,15,1151,522,-1,1,0,3,0,0,0,0,0,0.474213440379769,0.505421052631579,-0.031207612251810013,1,1,-0.03874643874643874,-0.2261904761904762,0.18744403744403745,1
BR1_3224502768,279,190,10,-2,0,620,550,13,-426,-110,0,-1108,-793,-5,-69,-354,-13,1262,897,15,0,1,0,3,0,0,0,1,0.4958041958041958,0.5110251062877424,-0.015220910483546624,1,1,-0.3163888888888889,0.08333333333333337,-0.39972222222222226,0
BR1_3224503793,-146,82,-5,0,0,151,434,24,-298,347,-3,-458,-629,-9,354,61,-9,105,-131,-8,0,0,0,0,0,0,0,1,0.5543143463382745,0.45288502518403717,0.1014293211542373,1,1,0.18687423687423688,-0.03256704980842917,0.21944128668266605,1
BR1_3224508708,434,616,20,0,0,209,878,2,-1117,-854,-13,1153,394,25,349,528,12,-160,-330,-6,0,0,3,0,0,0,0,1,0.4176641604010025,0.4871391108891109,-0.06947495048810837,1,1,-0.016666666666666607,0.08269230769230773,-0.09935897435897434,0
BR1_3224511658,1884,1732,76,1,0,376,258,18,688,893,16,1046,559,27,134,119,12,-360,-97,3,0,0,3,0,0,0,0,0,0.5792222222222222,0.4678888888888889,0.11133333333333328,0,0,0.0,0.0,0.0,1
BR1_3224545787,1849,1236,-6,4,0,-37,139,6,1238,804,11,1122,456,-7,-700,-127,-16,226,-36,0,0,1,3,0,0,0,0,1,0.5561223090634856,0.46628416186846156,0.08983814719502403,1,1,0.07738095238095238,0.0,0.07738095238095238,1
BR1_3224550216,-3684,-3073,-76,-3,-1,15,91,0,-7,-271,-12,-3026,-1907,-29,-408,-663,-33,-258,-323,-2,0,1,3,0,0,0,0,0,0.4564069264069264,0.4925768040009526,-0.03616987759402618,1,0,0.0,0.0,0.0,0
BR1_3224555589,4961,5369,26,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.425,0.07500000000000001,0,0,0.0,0.0,0.0,1
BR1_3224562635,-137,-89,16,-1,0,763,123,18,100,105,16,-865,-307,-3,-273,67,-11,138,-77,-4,0,1,3,0,0,0,0,1,0.4859605570707881,0.5343673469387755,-0.04840678986798741,1,1,0.5634920634920635,-0.07831890331890334,0.6418109668109668,1
BR1_3224589493,1098,1874,-30,7,0,313,322,-11,-5,1327,11,-880,-965,-32,1162,287,0,508,903,2,0,1,1,2,0,0,0,1,0.5678221997300945,0.4517459826035678,0.11607621712652672,1,1,0.53,-0.31694677871148463,0.8469467787114846,1
BR1_3224599176,-705,-1704,-33,-1,0,538,-120,3,-465,-502,-6,78,-520,-15,-582,-442,-11,-274,-120,-4,0,0,0,3,0,0,0,1,0.30829481792717084,0.5556930509104422,-0.24739823298327135,1,1,-0.2736763848896202,-0.01064674881810429,-0.2630296360715159,0
BR1_3224602625,-197,-1055,-53,2,0,-916,-571,-39,675,-660,-21,132,-45,5,61,216,-2,-149,5,4,0,1,0,0,0,0,0,1,0.5290971786833857,0.5249592760180996,0.004137902665286131,1,1,-0.39285714285714285,0.22132838721074014,-0.614185530067883,0
BR1_3224615398,-1983,-1223,-37,-2,0,-1741,-1833,-40,623,454,7,182,68,-1,-549,348,-2,-498,-260,-1,1,0,0,0,0,0,0,0,0.4822745098039215,0.440557804768331,0.041716705035590496,1,1,0.1295093795093795,-0.40284106137764675,0.5323504408870262,1
BR1_3224615510,3770,2353,21,8,0,1767,1949,44,1158,312,-3,928,438,13,-836,-187,-35,753,-159,2,0,1,3,0,0,0,0,1,0.5391042510121457,0.4660688331276567,0.07303541788448897,1,1,0.47916666666666674,-0.230566677121299,0.7097333437879657,1
BR1_3224630954,-1556,-2437,-4,-6,0,-1156,-1447,6,-880,-757,-23,88,84,10,385,-554,3,7,237,0,0,0,0,3,0,0,0,0,0.526301296720061,0.500205069124424,0.02609622759563701,1,1,0.13690476190476192,0.08333333333333337,0.05357142857142855,1
BR1_3224633246,1794,-628,-8,5,0,-9,-395,-16,1317,-219,-5,73,257,-2,-336,159,12,749,-430,3,0,0,3,0,0,0,0,1,0.5186668565731378,0.5354969977280104,-0.01683014115487258,1,1,0.30156905674147055,-0.39285714285714285,0.6944261995986134,1
BR1_3224659774,-1604,-967,-31,-3,0,-1293,-1187,-22,-449,-252,7,-1423,87,-2,1739,422,1,-178,-37,-15,0,0,0,3,0,0,0,1,0.4863987612855515,0.49298245614035097,-0.006583694854799482,1,1,-0.37916666666666665,-0.07142857142857147,-0.3077380952380952,0
BR1_3224662196,635,1688,-14,2,0,1150,1274,0,683,785,19,107,-48,-19,-1232,-165,-19,-73,-158,5,0,1,2,1,0,0,0,0,0.4900677427243825,0.4337948717948718,0.05627287092951072,1,0,0.3174450549450549,0.0,0.3174450549450549,1
BR1_3224667766,-910,-1021,-20,0,0,807,731,8,-540,-29,11,-1305,-1328,-24,273,-68,-1,-145,-327,-14,1,0,3,0,0,0,0,1,0.5249222999222999,0.5224808612440193,0.0024414386782806163,1,1,-0.038461538461538436,-0.06726190476190477,0.028800366300366337,1
BR1_3224684457,-4518,-2460,-21,-8,0,-311,-533,3,-1892,-1245,-12,-454,-128,-9,-1021,-407,-7,-840,-147,4,0,1,0,1,0,0,0,0,0.49005108743249154,0.5048185367264315,-0.014767449293939972,0,1,0.0,0.19047619047619047,-0.19047619047619047,0
BR1_3224696810,2,62,-39,1,0,797,891,0,67,-567,-19,52,787,5,-657,-650,-18,-257,-399,-7,1,0,3,0,0,0,0,0,0.5127082675646287,0.4693222034211937,0.043386064143435044,0,1,0.0,-0.5262820512820513,0.5262820512820513,1
BR1_3224703541,4890,2885,33,10,0,647,408,-4,594,890,14,-86,431,6,2278,1028,21,1457,128,-4,0,0,3,0,0,0,0,1,0.5505892937471885,0.3994926509929814,0.15109664275420703,1,0,-0.026364522417153924,0.0,-0.026364522417153924,1
BR1_3224721156,-147,430,5,-1,0,783,941,28,79,1563,33,1231,328,26,-1619,-1872,-81,-621,-530,-1,0,1,3,0,0,0,0,1,0.49833333333333335,0.4762151468878912,0.022118186445442167,1,1,-0.2853174603174603,0.3625,-0.6478174603174602,0
BR1_3224723279,1595,1037,10,2,0,1799,1434,41,157,490,-1,862,46,-27,-645,65,-6,-578,-998,3,0,0,3,0,0,0,0,1,0.4801775352307267,0.5048100690603605,-0.024632533829633818,1,1,-0.31267056530214427,0.29338910338910335,-0.6060596686912476,0
BR1_3224753063,-407,862,67,-3,0,353,311,14,558,1490,47,199,-44,16,-577,-157,-12,-940,-738,2,1,0,3,0,0,0,0,1,0.4527737036459146,0.5587995615804292,-0.10602585793451458,1,1,-0.11161313540260906,-0.005268918073796147,-0.10634421732881291,0
BR1_3224770685,-958,-749,-42,2,0,631,825,2,117,610,10,-1279,-1473,-31,-392,-336,-22,-35,-375,-1,0,1,3,0,0,0,0,1,0.5076190476190476,0.5201979010067472,-0.012578853387699596,0,1,0.0,-0.10364145658263313,0.10364145658263313,0
BR1_3224771676,3146,2218,38,7,0,1306,1232,24,1799,295,-8,653,228,12,-89,246,10,-523,217,0,0,1,3,0,0,0,0,1,0.44164102564102564,0.4625641025641025,-0.020923076923076878,1,1,-0.20952380952380956,0.06804954304954307,-0.27757335257335264,0
BR1_3224805573,1059,-247,47,0,0,-323,-418,21,1216,982,20,604,-420,-3,-675,-617,8,237,226,1,0,0,0,1,0,0,0,0,0.5369847247455594,0.565161943319838,-0.028177218574278684,0,1,0.0,0.023809523809523836,-0.023809523809523836,1
BR1_3224916379,-26837,-60000,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45999999999999996,0.33636363636363636,0.1236363636363636,1,0,-0.05920205920205923,0.0,-0.05920205920205923,1
BR1_3225020947,-1598,-1551,-17,-3,0,-1087,-595,1,469,-344,-9,-1693,-228,-16,1485,-237,2,-772,-147,5,0,1,3,0,0,0,0,1,0.47220927080509617,0.501941035556053,-0.02973176475095679,1,1,-0.14230769230769236,-0.016995614035087703,-0.12531207827260465,0
BR1_3225038257,63,871,38,0,0,121,602,25,230,1056,36,-892,-241,-23,311,-337,-2,293,-209,2,1,0,3,0,0,0,0,0,0.5238006793405156,0.47252067091897,0.051280008421545564,1,1,0.3223073945025165,-0.14395645645645647,0.46626385095897294,1
BR1_3225045647,-978,-815,-15,-3,0,-53,-546,-2,845,-27,10,80,-179,-8,-942,-542,-17,-908,479,2,0,1,2,1,0,0,0,0,0.46842707066027583,0.5631372549019608,-0.09471018424168492,1,1,-0.2778155706727135,0.27409184311623336,-0.5519074137889468,0
BR1_3225064213,-293,169,-37,-1,0,-97,27,-5,-405,375,-4,92,-38,-9,-503,-338,-18,620,143,-1,0,1,1,2,0,0,0,0,0.478670207656742,0.5266495726495727,-0.047979364992830675,0,0,0.0,0.0,0.0,0
BR1_3225066898,291,8,-24,1,0,-171,-135,-17,-492,-337,-7,1309,348,2,-322,213,1,-33,-81,-3,0,1,0,3,0,0,0,0,0.4793311222794202,0.5382897327707454,-0.058958610491325225,1,1,-0.08812260536398475,0.4089285714285714,-0.49705117679255617,0
BR1_3225095087,2006,-352,-44,7,0,-308,-547,-8,287,-357,-18,-310,-791,-28,1115,265,17,1222,1078,-7,0,1,0,3,0,0,0,1,0.5382956422439282,0.5014692199502326,0.03682642229369559,1,1,-0.11792798758259283,0.08265109890109888,-0.20057908648369172,0
BR1_3225108565,336,913,3,3,0,59,-376,4,-1239,580,10,956,183,-5,219,451,9,341,75,-15,1,0,3,0,0,0,0,0,0.5617619047619048,0.4985158004826625,0.06324610427924232,1,1,-0.05146982038429405,0.08265109890109888,-0.13412091928539294,1
BR1_3225119330,-1613,-306,20,-4,0,-589,-386,-16,210,845,23,-31,283,4,-732,-727,7,-471,-321,2,0,0,3,0,0,0,0,0,0.5036630036630036,0.5797695529402846,-0.076106549277281,0,1,0.0,0.16601546601546605,-0.16601546601546605,0
BR1_3225151459,-2851,-2458,-17,-6,0,321,227,28,-205,-1247,-15,-2211,-873,4,-1344,-395,-30,588,-170,-4,0,1,0,3,0,0,0,1,0.49311512692851434,0.5359177779282024,-0.04280265099968805,1,1,-0.055555555555555525,0.19786339586339588,-0.25341895141895143,0
BR1_3225155186,-14,536,26,-1,0,-204,-148,9,-651,380,17,262,230,12,209,-372,-5,370,446,-7,1,0,0,2,0,0,0,0,0.44764347417288597,0.4985778524716921,-0.05093437829880615,1,1,-0.006024932495520737,0.09346282372598161,-0.09948775622150234,0
BR1_3225173685,-122,-1028,-67,3,0,99,393,-13,687,-531,-16,-1407,-1057,-32,168,384,-6,331,-217,0,0,1,0,3,0,0,0,1,0.423477144324602,0.5184392463396138,-0.09496210201501182,1,1,-0.029305555555555564,0.2919047619047619,-0.3212103174603175,0
BR1_3225181523,3280,1803,56,2,0,1172,1138,14,492,1090,17,188,-967,2,1265,661,36,163,-119,-13,1,0,0,3,0,0,0,1,0.49763317384370015,0.4627612293144209,0.034871944529279275,0,1,0.0,-0.16758241758241757,0.16758241758241757,1
BR1_3225199164,3472,587,-4,9,0,-259,-89,-11,1059,-560,-13,1258,722,13,1844,479,10,-430,35,-3,1,0,2,1,0,0,0,0,0.5560713012477718,0.5305198412698413,0.025551459977930513,1,1,0.1149966931216931,-0.032578923461276395,0.1475756165829695,1
BR1_3225219995,-2841,-1327,-20,-7,0,769,431,32,-1496,-783,-11,-433,-777,-26,-1532,-1004,-31,-149,806,16,0,0,3,0,0,0,0,0,0.5220506145041749,0.5453333333333333,-0.023282718829158444,1,1,0.22605820105820107,-0.16699017199017202,0.3930483730483731,1
BR1_3225336900,283,-1728,-1,-4,0,790,-34,26,1736,-610,-9,-638,-705,-10,-1157,-644,-7,-448,265,-1,1,0,0,3,0,0,0,0,0.4518254837531946,0.5687350427350427,-0.11690955898184813,1,0,-0.23680555555555555,0.0,-0.23680555555555555,0
BR1_3225350196,-2692,-2489,-13,-4,0,-548,-317,-13,-1651,-398,-1,106,-851,9,-876,-603,-8,277,-320,0,0,1,0,3,0,0,0,1,0.5566310160427808,0.44416101055806934,0.11247000548471142,1,0,-0.5069444444444444,0.0,-0.5069444444444444,0
BR1_3225527800,7,-486,-21,0,0,248,74,-8,523,-191,-7,997,660,11,-1981,-603,-21,220,-426,4,0,1,3,0,0,0,0,0,0.4713113553113553,0.5793622489481622,-0.10805089363680692,0,0,0.0,0.0,0.0,0
BR1_3225533733,-1583,-1028,30,-7,0,-775,-1155,-4,-1413,333,14,1419,538,13,-513,-268,3,-301,-476,4,0,0,0,0,0,0,0,0,0.4995870236052129,0.5256157635467981,-0.026028739941585166,1,1,-0.3701727642276422,0.3002136752136752,-0.6703864394413175,0
BR1_3225555792,-3638,-3023,-23,-10,0,-239,-370,-13,-1204,259,1,-1693,-2124,-19,-255,-541,9,-247,-247,-1,0,1,0,3,0,0,0,0,0.4941401035938851,0.41591767881241565,0.07822242478146946,1,1,-0.3586309523809524,0.405,-0.7636309523809524,0
BR1_3225570472,642,775,56,-5,0,839,775,29,-482,-530,2,741,1273,24,-761,-132,5,305,-611,-4,0,1,0,3,0,0,0,0,0.5273160173160173,0.5384654893129469,-0.011149471996929616,1,1,0.2873931623931624,0.1253968253968254,0.16199633699633703,1
BR1_3225589320,-205,-1487,3,-2,0,-988,-980,-9,-129,-675,2,387,71,2,5,18,2,520,79,6,0,0,3,0,0,0,0,0,0.5287798427063133,0.47165646105845527,0.05712338164785802,1,1,-0.03286713286713283,0.1677350427350427,-0.20060217560217553,0
BR1_3225593418,31,-338,-28,2,0,137,-293,17,-675,-572,-23,711,722,7,-498,-513,-21,356,318,-8,0,1,3,0,0,0,0,0,0.5098405079446894,0.5244045068855195,-0.014563998940830158,1,1,0.16127370488425255,-0.07842907842907842,0.23970278331333097,1
BR1_3225596581,869,1697,0,6,0,1967,1935,33,-1253,-63,0,658,-387,-21,-522,59,-10,19,153,-2,0,0,3,0,0,0,0,1,0.4576959064327485,0.5088257117797251,-0.05112980534697664,1,1,-0.3994871794871795,0.010595081247255195,-0.41008226073443466,0
BR1_3225612335,-920,-883,-21,-3,0,255,661,32,1163,452,2,-702,-1116,-22,-1434,-703,-36,-202,-177,3,0,0,3,0,0,0,0,1,0.48703720751822016,0.4621950113378685,0.02484219618035166,1,1,-0.1314102564102564,0.12012476667649082,-0.2515350230867472,0
BR1_3225614075,-2656,-3056,-87,-4,0,-186,-95,-4,-758,-1681,-22,-1812,-1678,-39,-795,170,-10,895,228,-12,1,0,0,2,0,0,0,1,0.4855901640276142,0.5246612306099971,-0.03907106658238296,1,1,-0.16465367965367966,0.16118734868734869,-0.32584102834102835,0
BR1_3225629002,356,611,1,3,0,-833,-162,-28,-19,421,13,502,-247,0,20,273,9,686,326,7,0,0,0,0,0,0,0,1,0.45943599312112127,0.4883400147937963,-0.02890402167267503,1,1,0.23864864864864865,-0.21951219512195122,0.45816084377059985,1
BR1_3225632965,-638,-555,-14,1,0,-902,-1070,-9,-774,-585,-8,-820,-738,-19,1667,932,27,191,906,-5,1,0,0,3,0,0,0,0,0.40099999999999997,0.5366161616161615,-0.13561616161616158,1,0,-0.038461538461538436,0.0,-0.038461538461538436,0
BR1_3225635681,-401,-363,39,-2,0,-760,-443,5,-583,-194,10,1390,451,33,-174,-22,-16,-274,-155,7,1,0,2,0,0,0,0,1,0.530808422383192,0.5162778741726111,0.014530548210580974,1,1,-0.077982202982203,0.3083479020979021,-0.38633010508010507,0
BR1_3225640536,-1901,-18,-37,-1,0,-1476,-307,-28,-660,286,12,-937,-151,-8,592,-89,-12,580,243,-1,0,0,0,0,0,0,0,0,0.4625730994152047,0.5403829192781091,-0.07780981986290442,1,1,0.1196428571428571,0.03914897039897039,0.08049388674388672,0
