"match_id","gold_diff","xp_diff","cs_diff","kills_diff","gold_diff_top","xp_diff_top","cs_diff_top","gold_diff_jungle","xp_diff_jungle","cs_diff_jungle","gold_diff_mid","xp_diff_mid","cs_diff_mid","gold_diff_adc","xp_diff_adc","cs_diff_adc","gold_diff_support","xp_diff_support","cs_diff_support","blue_dragons","red_dragons","blue_voidgrubs","red_voidgrubs","first_blood","blue_avg_champion_wr","red_avg_champion_wr","synergy_diff","blue_has_duo","red_has_duo","blue_duo_impact","red_duo_impact","duo_impact_diff","blue_wins","resultado"
"BR1_3224399524",-836,-1249,-15,-1,-389,-200,-6,-447,-482,5,-531,-360,-12,381,-152,-5,150,-55,3,1,0,0,0,1,0.496993786957812,0.513187557124162,-0.0161937701663503,1,1,-0.0538623483219926,0.120395931652013,-0.174258279974006,0,"Vermelho vence"
"BR1_3224418971",830,331,2,1,194,-93,12,-76,165,10,-344,-330,-15,601,442,-5,455,147,0,1,0,0,2,0,0.449005096970213,0.539506264289722,-0.0905011673195091,1,1,-0.13298765538923,0.239944130687398,-0.372931786076628,0,"Vermelho vence"
"BR1_3224422863",1388,683,24,2,-172,-729,-10,589,529,8,664,254,16,-417,829,17,724,-200,-7,0,0,0,0,1,0.490122230525726,0.494055996296862,-0.00393376577113558,0,1,0,0.32563025210084,-0.32563025210084,0,"Vermelho vence"
"BR1_3224441461",-1467,-623,-15,-2,-363,277,-10,-1056,-911,-13,941,259,12,-632,10,-8,-357,-258,4,0,1,3,0,1,0.494294709781666,0.475484695535281,0.018810014246385,1,1,-0.307273755656109,0.0211503126121804,-0.328424068268289,0,"Vermelho vence"
"BR1_3224447950",1643,1598,35,2,497,407,12,-85,-198,7,440,572,9,341,157,-1,450,660,8,0,1,1,0,0,0.461211683711428,0.502518437479915,-0.0413067537684863,0,1,0,-0.131562473474238,0.131562473474238,0,"Vermelho vence"
"BR1_3224461289",-2012,-1360,-56,-2,-1679,-1180,-47,-208,1279,28,173,-414,-19,-30,-79,-4,-268,-966,-14,0,0,3,0,1,0.556012131029849,0.498145549505656,0.0578665815241925,1,1,-0.23136419133999,0.511904761904762,-0.743268953244752,0,"Vermelho vence"
"BR1_3224471294",-4063,-2492,-34,-7,-1017,-1259,-13,-1034,-757,-10,-2026,-891,-6,-174,314,-2,188,101,-3,0,1,0,3,1,0.528560760982674,0.464397708144114,0.0641630528385597,1,1,-0.250762268965034,-0.00623682241932497,-0.244525446545709,0,"Vermelho vence"
"BR1_3224473648",-3558,-2235,-82,-3,-1168,-772,-41,-249,-166,-1,-1347,-786,-29,-734,-380,-3,-60,-131,-8,0,0,0,3,0,0.527217356607428,0.480297289506266,0.0469200671011621,1,0,-0.424861730976282,0,-0.424861730976282,0,"Vermelho vence"
"BR1_3224491555",-2216,-1894,-61,-2,1171,609,18,-1310,-670,-23,226,123,-2,-1755,-850,-46,-548,-1106,-8,0,0,3,0,1,0.5159843877848,0.513102826018103,0.00288156176669685,1,1,0.358391608391608,-0.219172991777356,0.577564600168964,1,"Azul vence"
"BR1_3224495940",3312,2627,10,11,-1022,-1093,-20,1695,1842,40,-1028,-147,-24,2516,1503,15,1151,522,-1,1,0,3,0,0,0.504726239070582,0.472681930936241,0.0320443081343412,1,1,-0.0422165136450851,-0.282438725576154,0.240222211931069,1,"Azul vence"
"BR1_3224502768",279,190,10,-2,620,550,13,-426,-110,0,-1108,-793,-5,-69,-354,-13,1262,897,15,0,1,0,3,1,0.491380064341007,0.499593950636419,-0.00821388629541192,1,1,-0.305121886502155,0.125,-0.430121886502155,0,"Vermelho vence"
"BR1_3224503793",-146,82,-5,0,151,434,24,-298,347,-3,-458,-629,-9,354,61,-9,105,-131,-8,0,0,0,0,1,0.49083951978109,0.50868020830831,-0.0178406885272199,1,1,0.16859256814614,-0.0921544209215441,0.260746989067684,1,"Azul vence"
"BR1_3224508708",434,616,20,0,209,878,2,-1117,-854,-13,1153,394,25,349,528,12,-160,-330,-6,0,0,3,0,1,0.439541729546806,0.51300671738881,-0.0734649878420047,1,1,-0.183333333333333,0.0639957264957265,-0.24732905982906,0,"Vermelho vence"
"BR1_3224511658",1884,1732,76,1,376,258,18,688,893,16,1046,559,27,134,119,12,-360,-97,3,0,0,3,0,0,0.486203970718722,0.479622561513551,0.00658140920517086,0,0,0,0,0,1,"Azul vence"
"BR1_3224545787",1849,1236,-6,4,-37,139,6,1238,804,11,1122,456,-7,-700,-127,-16,226,-36,0,0,1,3,0,1,0.497545466058764,0.462445901639344,0.0350995644194197,1,1,0.0272727272727273,-0.15668016194332,0.183952889216047,1,"Azul vence"
"BR1_3224550216",-3684,-3073,-76,-3,15,91,0,-7,-271,-12,-3026,-1907,-29,-408,-663,-33,-258,-323,-2,0,1,3,0,0,0.478297565515408,0.4798273383642,-0.00152977284879213,1,0,-0.343137254901961,0,-0.343137254901961,0,"Vermelho vence"
"BR1_3224555589",4961,5369,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.286472742943331,0.369220934645459,-0.082748191702128,0,0,0,0,0,1,"Azul vence"
"BR1_3224562635",-137,-89,16,-1,763,123,18,100,105,16,-865,-307,-3,-273,67,-11,138,-77,-4,0,1,3,0,1,0.511707610443901,0.496278208815522,0.0154294016283786,1,1,0.474008207934337,-0.115269151138716,0.589277359073053,1,"Azul vence"
"BR1_3224589493",1098,1874,-30,7,313,322,-11,-5,1327,11,-880,-965,-32,1162,287,0,508,903,2,0,1,1,2,1,0.512033668238425,0.490440671531989,0.0215929967064357,1,1,0.142802783213742,-0.47584321587398,0.618645999087722,1,"Azul vence"
"BR1_3224599176",-705,-1704,-33,-1,538,-120,3,-465,-502,-6,78,-520,-15,-582,-442,-11,-274,-120,-4,0,0,0,3,1,0.408542838146002,0.499049313025316,-0.0905064748793136,1,1,-0.342978090021434,0.122089536807279,-0.465067626828712,0,"Vermelho vence"
"BR1_3224602625",-197,-1055,-53,2,-916,-571,-39,675,-660,-21,132,-45,5,61,216,-2,-149,5,4,0,1,0,0,1,0.534448700835908,0.533535625771982,0.000913075063926794,1,1,-0.392857142857143,0.118088793127493,-0.510945935984636,0,"Vermelho vence"
"BR1_3224615398",-1983,-1223,-37,-2,-1741,-1833,-40,623,454,7,182,68,-1,-549,348,-2,-498,-260,-1,1,0,0,0,0,0.516878235481559,0.471515229162295,0.0453630063192647,1,1,0.0838459785828207,-0.407035659004163,0.490881637586984,1,"Azul vence"
"BR1_3224615510",3770,2353,21,8,1767,1949,44,1158,312,-3,928,438,13,-836,-187,-35,753,-159,2,0,1,3,0,1,0.502918778921162,0.498545401128173,0.00437337779298885,1,1,0.137440381558029,-0.284839537780714,0.422279919338743,1,"Azul vence"
"BR1_3224630954",-1556,-2437,-4,-6,-1156,-1447,6,-880,-757,-23,88,84,10,385,-554,3,7,237,0,0,0,0,3,0,0.502595602330999,0.497539248960948,0.00505635337005123,1,1,0.0546536796536797,0.125,-0.0703463203463203,1,"Azul vence"
"BR1_3224633246",1794,-628,-8,5,-9,-395,-16,1317,-219,-5,73,257,-2,-336,159,12,749,-430,3,0,0,3,0,1,0.505010459043681,0.519261848768797,-0.0142513897251156,1,1,0.318420506434205,-0.286061026352288,0.604481532786494,1,"Azul vence"
"BR1_3224659774",-1604,-967,-31,-3,-1293,-1187,-22,-449,-252,7,-1423,87,-2,1739,422,1,-178,-37,-15,0,0,0,3,1,0.518694313225588,0.512054207119741,0.00664010610584709,1,1,-0.521112767014406,-0.0208333333333333,-0.500279433681073,0,"Vermelho vence"
"BR1_3224662196",635,1688,-14,2,1150,1274,0,683,785,19,107,-48,-19,-1232,-165,-19,-73,-158,5,0,1,2,1,0,0.499681581047003,0.498899299020797,0.000782282026205783,1,0,0.290553547576019,0,0.290553547576019,1,"Azul vence"
"BR1_3224667766",-910,-1021,-20,0,807,731,8,-540,-29,11,-1305,-1328,-24,273,-68,-1,-145,-327,-14,1,0,3,0,1,0.484077589595582,0.488599176682601,-0.00452158708701933,1,1,-0.0364077669902912,-0.0762987012987013,0.03989093430841,1,"Azul vence"
"BR1_3224684457",-4518,-2460,-21,-8,-311,-533,3,-1892,-1245,-12,-454,-128,-9,-1021,-407,-7,-840,-147,4,0,1,0,1,0,0.513414236076775,0.513237840729585,0.000176395347189384,0,1,0,0.204545454545455,-0.204545454545455,0,"Vermelho vence"
